id,budget,revenue,release_year,production_companies
135397,150000000,1513528810,2015,Universal Studios
76341,150000000,378436354,2015,Village Roadshow Pictures
262500,110000000,295238201,2015,Summit Entertainment
140607,200000000,2068178225,2015,Lucasfilm
168259,190000000,1506249360,2015,Universal Pictures
281957,135000000,532950503,2015,Regency Enterprises
87101,155000000,440603537,2015,Paramount Pictures
286217,108000000,595380321,2015,Twentieth Century Fox Film Corporation
211672,74000000,1156730962,2015,Universal Pictures
150540,175000000,853708609,2015,Walt Disney Pictures
206647,245000000,880674609,2015,Columbia Pictures
76757,176000003,183987723,2015,Village Roadshow Pictures
264660,15000000,36869414,2015,DNA Films
257344,88000000,243637091,2015,Columbia Pictures
99861,280000000,1405035767,2015,Marvel Studios
273248,44000000,155760117,2015,Double Feature Films
260346,48000000,325771424,2015,Twentieth Century Fox Film Corporation
102899,130000000,518602163,2015,Marvel Studios
150689,95000000,542351353,2015,Walt Disney Pictures
131634,160000000,650523427,2015,Studio Babelsberg
158852,190000000,209035668,2015,Walt Disney Pictures
307081,30000000,91709827,2015,Escape Artists
254128,110000000,470490832,2015,New Line Cinema
216015,40000000,569651467,2015,Focus Features
318846,28000000,133346506,2015,Paramount Pictures
177677,150000000,682330139,2015,Paramount Pictures
214756,68000000,215863606,2015,Universal Pictures
207703,81000000,403802136,2015,Twentieth Century Fox Film Corporation
314365,20000000,88346473,2015,Participant Media
294254,61000000,311256926,2015,Gotham Group
280996,0,29355203,2015,BBC Films
198184,49000000,102069268,2015,Columbia Pictures
254470,29000000,287506194,2015,Universal Pictures
296098,40000000,162610473,2015,DreamWorks SKG
257445,58000000,150170815,2015,Columbia Pictures
264644,6000000,35401758,2015,Element Pictures
339527,0,22354572,2015,Eden Rock Media
105864,175000000,331926147,2015,Walt Disney Pictures
241554,50000000,71561644,2015,Vertigo Entertainment
167073,11000000,62076141,2015,Wildgaze Films
277216,28000000,201634991,2015,New Line Cinema
274854,90000000,140396650,2015,Summit Entertainment
321697,30000000,34441873,2015,Universal Pictures
203801,75000000,108145109,2015,Davis Entertainment
293863,25000000,42629776,2015,Lakeshore Entertainment
325348,10000000,14333790,2015,Bazelevs Production
228161,135000000,368871007,2015,Twentieth Century Fox Film Corporation
286565,12000000,85512300,2015,Fox 2000 Pictures
265208,30000000,0,2015,Current Entertainment
254320,4000000,9064511,2015,Haut et Court
258480,11800000,40272135,2015,Killer Films
257211,35000000,194564672,2015,Waverly Films
253412,55000000,203427584,2015,Universal Pictures
274479,60000000,101134059,2015,Fox 2000 Pictures
257088,105000000,133718711,2015,Studio Babelsberg
295964,20000000,36606743,2015,Double Feature Films
238615,26000000,30523226,2015,Endgame Entertainment
210860,60000000,30418560,2015,Lionsgate
306819,15000000,64191523,2015,Pretty Pictures
201088,70000000,17752940,2015,Universal Pictures
273481,30000000,84025816,2015,Lionsgate
166424,120000001,167977596,2015,Twentieth Century Fox Film Corporation
310131,3500000,40423945,2015,Parts and Labor
238713,65000000,235666219,2015,Twentieth Century Fox Film Corporation
256591,50100000,153962963,2015,Kramer & Sigman Films
249070,35000000,82347656,2015,Twentieth Century Fox Film Corporation
205775,100000000,93820758,2015,Imagine Entertainment
334074,20000000,0,2015,Nu Image Films
312221,35000000,137935567,2015,New Line Cinema
271718,35000000,140795793,2015,Universal Pictures
333352,13000000,32848185,2015,Entertainment One
276907,25000000,42972994,2015,Working Title Films
284289,0,45895,2015,Furthur Films
266647,150000000,128388320,2015,Warner Bros.
347096,0,0,2015,Arrowstorm Entertainment
308369,0,0,2015,Indian Paintbrush
227973,99000000,246233113,2015,Blue Sky Studios
321741,35000000,48623572,2015,Village Roadshow Pictures
296100,25000000,52395996,2015,Sony Pictures
263472,2500000,5214043,2015,Universum Film (UFA)
228205,34000000,63013281,2015,Fox 2000 Pictures
159824,80000000,466183544,2015,Columbia Pictures
333348,17000000,24000000,2015,Imagine Entertainment
285783,35000000,61181942,2015,TriStar Pictures
290764,11000000,1863315,2015,Temple Hill Entertainment
296099,31000000,104384188,2015,New Line Cinema
243688,35000000,95437994,2015,Ghost House Pictures
287424,4000000,187112,2015,Lionsgate
301875,0,2000000,2015,Scott Free Productions
181283,50000000,3324330,2015,Summit Entertainment
328425,5000000,58978653,2015,Blumhouse Productions
274167,50000000,240360392,2015,Paramount Pictures
370687,0,0,2015,Arrowstorm Entertainment
307663,10000000,0,2015,Grindstone Entertainment Group
309809,64000000,97571250,2015,Onyx Films
258509,0,233755553,2015,Regency Enterprises
298382,11930000,18340000,2015,Amazon Studios
272693,8500000,43528634,2015,Wonderland Sound and Vision
283445,10000000,52882018,2015,Alliance Films
256961,30000000,107597242,2015,Columbia Pictures
326359,0,0,2015,Walt Disney Pictures
254302,0,0,2015,Ingenious Media
241251,4000000,50163103,2015,Universal Pictures
292040,0,0,2015,BBC Films
188222,30000000,49263404,2015,Warner Bros.
252838,23000000,79799880,2015,Miramax Films
273477,15000000,14860766,2015,Paramount Pictures
298312,5000000,98450062,2015,Blumhouse Productions
261023,53000000,99775678,2015,Infinitum Nihil
336004,8900000,50136,2015,Emmett/Furla Films
287903,15000000,61548707,2015,Universal Pictures
182560,20000000,208588,2015,Denver and Delilah Productions
192141,5000000,54418872,2015,Bold Films
308639,700000,17986781,2015,Forest Whitaker's Significant Productions
261392,28000000,28208085,2015,Concorde Filmverleih
304357,11000000,61619773,2015,BBC Films
297291,0,0,2015,Universal Pictures
266294,30000000,105011053,2015,Little Stranger
227719,12000000,32248241,2015,Paramount Pictures
86828,0,5189646,2015,Premiere Picture
287948,25000000,72629670,2015,EuropaCorp
201085,55000000,74679822,2015,Legendary Pictures
277355,0,0,2015,Crime Scene Pictures
264999,14800000,122413057,2015,Warner Bros.
146301,10000000,78099553,2015,Paramount Pictures
223485,0,229094,2015,The New Zealand Film Commission
294016,15000000,8235661,2015,Groundswell Productions
290751,19500000,32189727,2015,Ingenious Media
309245,0,2500431,2015,RT Features
228165,74000000,311594032,2015,Paramount Pictures
245706,0,4719695,2015,Plan B Entertainment
272878,20000000,43967255,2015,Sunswept Entertainment
263109,0,59700000,2015,Aardman Animations
157827,11000000,0,2015,Motlys
321751,0,1702433,2015,Reposado Producciones
266396,40000000,10664749,2015,StudioCanal
277685,1000000,62882090,2015,Bazelevs Production
268920,35000000,51680201,2015,New Line Cinema
280092,10000000,104303851,2015,Sony Pictures
193687,0,118483,2015,Palomar Pictures
300803,0,0,2015,Raffaella Productions
328589,6000000,41387687,2015,BBC Films
