id,budget,revenue,release_year,director
135397,150000000,1513528810,2015,Colin Trevorrow
76341,150000000,378436354,2015,George Miller
262500,110000000,295238201,2015,Robert Schwentke
140607,200000000,2068178225,2015,J.J. Abrams
168259,190000000,1506249360,2015,James Wan
281957,135000000,532950503,2015,Alejandro González Iñárritu
87101,155000000,440603537,2015,Alan Taylor
286217,108000000,595380321,2015,Ridley Scott
211672,74000000,1156730962,2015,Kyle Balda
150540,175000000,853708609,2015,Pete Docter
206647,245000000,880674609,2015,Sam Mendes
76757,176000003,183987723,2015,Lana Wachowski
264660,15000000,36869414,2015,Alex Garland
257344,88000000,243637091,2015,Chris Columbus
99861,280000000,1405035767,2015,Joss Whedon
273248,44000000,155760117,2015,Quentin Tarantino
260346,48000000,325771424,2015,Olivier Megaton
102899,130000000,518602163,2015,Peyton Reed
150689,95000000,542351353,2015,Kenneth Branagh
131634,160000000,650523427,2015,Francis Lawrence
158852,190000000,209035668,2015,Brad Bird
307081,30000000,91709827,2015,Antoine Fuqua
254128,110000000,470490832,2015,Brad Peyton
216015,40000000,569651467,2015,Sam Taylor-Johnson
318846,28000000,133346506,2015,Adam McKay
177677,150000000,682330139,2015,Christopher McQuarrie
214756,68000000,215863606,2015,Seth MacFarlane
207703,81000000,403802136,2015,Matthew Vaughn
314365,20000000,88346473,2015,Tom McCarthy
294254,61000000,311256926,2015,Wes Ball
280996,0,29355203,2015,Bill Condon
198184,49000000,102069268,2015,Neill Blomkamp
254470,29000000,287506194,2015,Elizabeth Banks
296098,40000000,162610473,2015,Steven Spielberg
257445,58000000,150170815,2015,Rob Letterman
264644,6000000,35401758,2015,Lenny Abrahamson
339527,0,22354572,2015,Afonso Poyart
105864,175000000,331926147,2015,Peter Sohn
241554,50000000,71561644,2015,Jaume Collet-Serra
167073,11000000,62076141,2015,John Crowley
277216,28000000,201634991,2015,F. Gary Gray
274854,90000000,140396650,2015,Breck Eisner
321697,30000000,34441873,2015,Danny Boyle
203801,75000000,108145109,2015,Guy Ritchie
293863,25000000,42629776,2015,Lee Toland Krieger
325348,10000000,14333790,2015,Ilya Naishuller
228161,135000000,368871007,2015,Tim Johnson
286565,12000000,85512300,2015,Jake Schreier
265208,30000000,0,2015,Simon West
254320,4000000,9064511,2015,Yorgos Lanthimos
258480,11800000,40272135,2015,Todd Haynes
257211,35000000,194564672,2015,Nancy Meyers
253412,55000000,203427584,2015,Baltasar Kormákur
274479,60000000,101134059,2015,David O. Russell
257088,105000000,133718711,2015,Ericson Core
295964,20000000,36606743,2015,John Wells
238615,26000000,30523226,2015,Tarsem Singh
210860,60000000,30418560,2015,David Koepp
306819,15000000,64191523,2015,Tom Hooper
201088,70000000,17752940,2015,Michael Mann
273481,30000000,84025816,2015,Denis Villeneuve
166424,120000001,167977596,2015,Josh Trank
310131,3500000,40423945,2015,Robert Eggers
238713,65000000,235666219,2015,Paul Feig
256591,50100000,153962963,2015,Glenn Ficarra
249070,35000000,82347656,2015,Aleksander Bach
205775,100000000,93820758,2015,Ron Howard
334074,20000000,0,2015,James McTeigue
312221,35000000,137935567,2015,Ryan Coogler
271718,35000000,140795793,2015,Judd Apatow
333352,13000000,32848185,2015,Gavin Hood
276907,25000000,42972994,2015,Brian Helgeland
284289,0,45895,2015,Jean-Baptiste Léonetti
266647,150000000,128388320,2015,Joe Wright
347096,0,0,2015,Anne K. Black
308369,0,0,2015,Alfonso Gomez-Rejon
227973,99000000,246233113,2015,Steve Martino
321741,35000000,48623572,2015,Peter Landesman
296100,25000000,52395996,2015,Jonathan Levine
263472,2500000,5214043,2015,Eli Roth
228205,34000000,63013281,2015,"George Tillman, Jr."
159824,80000000,466183544,2015,Genndy Tartakovsky
333348,17000000,24000000,2015,Jessie Nelson
285783,35000000,61181942,2015,Robert Zemeckis
290764,11000000,1863315,2015,Daniel Benmayor
296099,31000000,104384188,2015,John Francis Daley
243688,35000000,95437994,2015,Gil Kenan
287424,4000000,187112,2015,Henry Hobson
301875,0,2000000,2015,Drake Doremus
181283,50000000,3324330,2015,Daniel Espinosa
328425,5000000,58978653,2015,Joel Edgerton
274167,50000000,240360392,2015,Sean Anders
370687,0,0,2015,A. Todd Smith
307663,10000000,0,2015,Brian A Miller
309809,64000000,97571250,2015,Mark Osborne
258509,0,233755553,2015,Walt Becker
298382,11930000,18340000,2015,Jocelyn Moorhouse
272693,8500000,43528634,2015,Ari Sandel
283445,10000000,52882018,2015,Ciaran Foy
256961,30000000,107597242,2015,Andy Fickman
326359,0,0,2015,Chris Buck
254302,0,0,2015,Ben Wheatley
241251,4000000,50163103,2015,Rob Cohen
292040,0,0,2015,Bharat Nalluri
188222,30000000,49263404,2015,Doug Ellin
252838,23000000,79799880,2015,Jeremy Garelick
273477,15000000,14860766,2015,Christopher B. Landon
298312,5000000,98450062,2015,M. Night Shyamalan
261023,53000000,99775678,2015,Scott Cooper
336004,8900000,50136,2015,Scott Mann
287903,15000000,61548707,2015,Michael Dougherty
182560,20000000,208588,2015,Gilles Paquet-Brenner
192141,5000000,54418872,2015,John Erick Dowdle
308639,700000,17986781,2015,Rick Famuyiwa
261392,28000000,28208085,2015,Nima Nourizadeh
304357,11000000,61619773,2015,Simon Curtis
297291,0,0,2015,Mike Elliott
266294,30000000,105011053,2015,Jason Moore
227719,12000000,32248241,2015,Dean Israelite
86828,0,5189646,2015,Terry Jones
287948,25000000,72629670,2015,Camille Delamarre
201085,55000000,74679822,2015,Guillermo del Toro
277355,0,0,2015,Joe Lynch
264999,14800000,122413057,2015,Gregory Jacobs
146301,10000000,78099553,2015,Gregory Plotkin
223485,0,229094,2015,John Maclean
294016,15000000,8235661,2015,Jay Roach
290751,19500000,32189727,2015,Billy Ray
309245,0,2500431,2015,Noah Baumbach
228165,74000000,311594032,2015,Paul Tibbitt
245706,0,4719695,2015,Rupert Goold
272878,20000000,43967255,2015,Boaz Yakin
263109,0,59700000,2015,Mark Burton
157827,11000000,0,2015,Joachim Trier
321751,0,1702433,2015,Fernando León de Aranoa
266396,40000000,10664749,2015,Pierre Morel
277685,1000000,62882090,2015,Levan Gabriadze
268920,35000000,51680201,2015,Anne Fletcher
280092,10000000,104303851,2015,Leigh Whannell
193687,0,118483,2015,Craig Zobel
300803,0,0,2015,Colin Teague
328589,6000000,41387687,2015,Nicholas Hytner
228066,40000000,34227298,2015,Paul McGuigan
378373,0,0,2015,Gerado Olivares
291270,8000000,3759286,2015,Duke Johnson
294963,1800000,0,2015,S. Craig Zahler
241257,0,17671101,2015,Alejandro Amenábar
245698,0,0,2015,Edward Zwick
353326,0,11472454,2015,Matt Brown
346808,20000000,0,2015,Stephen S. Campanelli
250124,2000000,1477002,2015,Marielle Heller
290637,0,0,2015,Uli Edel
244458,0,0,2015,Marjane Satrapi
308504,0,3643591,2015,Kazuaki Kiriya
314405,12000000,0,2015,Matteo Garrone
282984,11000000,27391084,2015,Woody Allen
157843,15000000,0,2015,Werner Herzog
275601,18000000,41325328,2015,Jonathan Demme
290762,0,0,2015,Catherine Hardwicke
251516,630019,0,2015,David Sandberg
304372,12000000,60273173,2015,David M. Rosenthal
324807,0,1936524,2015,Luca Guadagnino
252512,10000000,7587485,2015,Noah Baumbach
257091,40000000,106511453,2015,Etan Cohen
228968,0,0,2015,Daniel Alfredson
347969,60000000,0,2015,Frank Coraci
237756,0,0,2015,Kriv Stenders
293646,25000000,24902723,2015,Patricia Riggen
245168,14000000,16002420,2015,Sarah Gavron
311291,0,0,2015,Andrew Haigh
301351,6000000,11122090,2015,Max Joseph
248574,0,6075,2015,Kyle Newman
225728,0,13192457,2015,Justin Kurzel
326425,0,16775,2015,Steven C. Miller
342474,0,0,2015,Mary Agnes Donoghue
277217,0,0,2015,Kenny Ortega
207936,0,0,2015,Sean Mewshaw
250734,0,30229977,2015,Thomas Vinterberg
249688,0,3002884,2015,James Ponsoldt
268238,10000000,85978266,2015,John Madden
256962,20000000,6420319,2015,Alejandro Monteverde
322456,0,0,2015,Brandon Vietti
302528,0,1986615,2015,Atom Egoyan
222936,37000000,26250020,2015,Cameron Crowe
316002,26000000,0,2015,David O. Russell
365806,0,0,2015,Ian Kirby
10317,28000000,7002261,2015,David Gordon Green
334538,0,0,2015,Patricia Rozema
306947,0,231737,2015,Karyn Kusama
328901,0,0,2015,Andrew Renzi
382517,0,0,2015,David Feiss
310133,0,134552,2015,Jon Watts
237584,0,0,2015,William Monahan
288036,0,3214116,2015,Leslye Headland
354110,11000000,0,2015,Jon Cassar
331781,0,8413144,2015,Asif Kapadia
253161,0,0,2015,Sophie Barthes
