id,budget,revenue,release_year,keywords
135397,150000000,1513528810,2015,original
76341,150000000,378436354,2015,original
262500,110000000,295238201,2015,based on novel
140607,200000000,2068178225,2015,original
168259,190000000,1506249360,2015,original
281957,135000000,532950503,2015,original
87101,155000000,440603537,2015,original
286217,108000000,595380321,2015,based on novel
211672,74000000,1156730962,2015,original
150540,175000000,853708609,2015,original
206647,245000000,880674609,2015,original
76757,176000003,183987723,2015,original
264660,15000000,36869414,2015,original
257344,88000000,243637091,2015,original
99861,280000000,1405035767,2015,original
273248,44000000,155760117,2015,original
260346,48000000,325771424,2015,original
102899,130000000,518602163,2015,original
150689,95000000,542351353,2015,original
131634,160000000,650523427,2015,original
158852,190000000,209035668,2015,original
307081,30000000,91709827,2015,original
254128,110000000,470490832,2015,original
216015,40000000,569651467,2015,based on novel
318846,28000000,133346506,2015,original
177677,150000000,682330139,2015,original
214756,68000000,215863606,2015,original
207703,81000000,403802136,2015,original
314365,20000000,88346473,2015,original
294254,61000000,311256926,2015,based on novel
280996,0,29355203,2015,original
198184,49000000,102069268,2015,original
254470,29000000,287506194,2015,original
296098,40000000,162610473,2015,original
257445,58000000,150170815,2015,based on novel
264644,6000000,35401758,2015,based on novel
339527,0,22354572,2015,original
105864,175000000,331926147,2015,original
241554,50000000,71561644,2015,original
167073,11000000,62076141,2015,original
277216,28000000,201634991,2015,original
274854,90000000,140396650,2015,original
321697,30000000,34441873,2015,original
203801,75000000,108145109,2015,original
293863,25000000,42629776,2015,original
325348,10000000,14333790,2015,original
228161,135000000,368871007,2015,original
286565,12000000,85512300,2015,original
265208,30000000,0,2015,original
254320,4000000,9064511,2015,original
258480,11800000,40272135,2015,original
257211,35000000,194564672,2015,original
253412,55000000,203427584,2015,original
274479,60000000,101134059,2015,original
257088,105000000,133718711,2015,original
295964,20000000,36606743,2015,original
238615,26000000,30523226,2015,original
210860,60000000,30418560,2015,based on novel
306819,15000000,64191523,2015,original
201088,70000000,17752940,2015,original
273481,30000000,84025816,2015,original
166424,120000001,167977596,2015,original
310131,3500000,40423945,2015,original
238713,65000000,235666219,2015,original
256591,50100000,153962963,2015,original
249070,35000000,82347656,2015,original
205775,100000000,93820758,2015,original
334074,20000000,0,2015,original
312221,35000000,137935567,2015,original
271718,35000000,140795793,2015,original
333352,13000000,32848185,2015,original
276907,25000000,42972994,2015,original
284289,0,45895,2015,original
266647,150000000,128388320,2015,original
347096,0,0,2015,original
308369,0,0,2015,original
227973,99000000,246233113,2015,original
321741,35000000,48623572,2015,original
296100,25000000,52395996,2015,original
263472,2500000,5214043,2015,original
228205,34000000,63013281,2015,based on novel
159824,80000000,466183544,2015,original
333348,17000000,24000000,2015,original
285783,35000000,61181942,2015,original
290764,11000000,1863315,2015,original
296099,31000000,104384188,2015,original
243688,35000000,95437994,2015,original
287424,4000000,187112,2015,original
301875,0,2000000,2015,original
181283,50000000,3324330,2015,original
328425,5000000,58978653,2015,original
274167,50000000,240360392,2015,original
370687,0,0,2015,original
307663,10000000,0,2015,original
309809,64000000,97571250,2015,original
258509,0,233755553,2015,original
298382,11930000,18340000,2015,based on novel
272693,8500000,43528634,2015,original
283445,10000000,52882018,2015,original
256961,30000000,107597242,2015,original
326359,0,0,2015,original
254302,0,0,2015,original
241251,4000000,50163103,2015,original
292040,0,0,2015,original
188222,30000000,49263404,2015,original
252838,23000000,79799880,2015,original
273477,15000000,14860766,2015,original
298312,5000000,98450062,2015,original
261023,53000000,99775678,2015,original
336004,8900000,50136,2015,original
287903,15000000,61548707,2015,original
182560,20000000,208588,2015,original
192141,5000000,54418872,2015,original
308639,700000,17986781,2015,original
261392,28000000,28208085,2015,original
304357,11000000,61619773,2015,original
297291,0,0,2015,original
266294,30000000,105011053,2015,original
227719,12000000,32248241,2015,original
86828,0,5189646,2015,original
287948,25000000,72629670,2015,original
201085,55000000,74679822,2015,original
277355,0,0,2015,original
264999,14800000,122413057,2015,original
146301,10000000,78099553,2015,original
223485,0,229094,2015,original
294016,15000000,8235661,2015,original
290751,19500000,32189727,2015,original
309245,0,2500431,2015,original
228165,74000000,311594032,2015,original
272878,20000000,43967255,2015,original
263109,0,59700000,2015,original
157827,11000000,0,2015,original
321751,0,1702433,2015,original
266396,40000000,10664749,2015,original
277685,1000000,62882090,2015,original
268920,35000000,51680201,2015,original
280092,10000000,104303851,2015,original
193687,0,118483,2015,original
300803,0,0,2015,original
328589,6000000,41387687,2015,based on novel
228066,40000000,34227298,2015,original
378373,0,0,2015,original
291270,8000000,3759286,2015,original
294963,1800000,0,2015,original
241257,0,17671101,2015,original
245698,0,0,2015,original
353326,0,11472454,2015,original
250124,2000000,1477002,2015,original
290637,0,0,2015,original
244458,0,0,2015,original
308504,0,3643591,2015,original
157843,15000000,0,2015,original
275601,18000000,41325328,2015,original
290762,0,0,2015,original
251516,630019,0,2015,original
324807,0,1936524,2015,original
252512,10000000,7587485,2015,original
257091,40000000,106511453,2015,original
347969,60000000,0,2015,original
237756,0,0,2015,original
293646,25000000,24902723,2015,original
245168,14000000,16002420,2015,original
311291,0,0,2015,original
301351,6000000,11122090,2015,original
248574,0,6075,2015,original
225728,0,13192457,2015,original
326425,0,16775,2015,original
