trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9980019986673331}",35,-22,-229.77276307779425,"{0: 32, 1: 6, 2: 15, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9960079893439915}",25,-9,-252.97375744609664,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 5}",0
3,False,"{'a': 0.5, 'e': 0.9940179640539353}",20,-100,-613.1683534905746,"{0: 72, 1: 11, 2: 23, 3: 6, 4: 8}",0
4,False,"{'a': 0.5, 'e': 0.9920319148370607}",30,-100,-536.9502135239035,"{0: 81, 1: 8, 2: 29, 3: 7, 4: 5}",0
5,False,"{'a': 0.5, 'e': 0.9900498337491681}",25,-31,-328.56424595265435,"{0: 32, 1: 4, 2: 12, 3: 4, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.9880717128619306}",25,-100,-598.3890257088914,"{0: 80, 1: 17, 2: 14, 3: 4, 4: 10}",0
7,False,"{'a': 0.5, 'e': 0.986097544262862}",25,-33,-310.48547732327773,"{0: 42, 1: 1, 2: 5, 3: 4, 4: 6}",0
8,False,"{'a': 0.5, 'e': 0.9841273200552852}",20,-100,-734.3380302839354,"{0: 73, 1: 11, 2: 17, 3: 7, 4: 12}",0
9,False,"{'a': 0.5, 'e': 0.9821610323583009}",30,-100,-679.2556950977586,"{0: 83, 1: 8, 2: 24, 3: 4, 4: 11}",0
10,False,"{'a': 0.5, 'e': 0.9801986733067555}",25,-88,-597.3390492875143,"{0: 67, 1: 10, 2: 25, 3: 2, 4: 9}",0
11,False,"{'a': 0.5, 'e': 0.9782402350512103}",25,-21,-231.16503520135737,"{0: 29, 1: 2, 2: 9, 3: 3, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.9762857097579095}",25,-44,-207.1586240859663,"{0: 47, 1: 5, 2: 12, 3: 3, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9743350896087496}",20,-100,-803.4606319555666,"{0: 74, 1: 9, 2: 19, 3: 2, 4: 16}",0
14,False,"{'a': 0.5, 'e': 0.9723883668012472}",20,-32,-286.51035782136734,"{0: 29, 1: 5, 2: 13, 3: 1, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.9704455335485085}",30,13,-11.659976175452805,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.9685065820791979}",25,-93,-454.6947408414855,"{0: 77, 1: 11, 2: 20, 3: 4, 4: 6}",0
17,False,"{'a': 0.5, 'e': 0.966571504637507}",30,-100,-638.0500456532397,"{0: 85, 1: 9, 2: 22, 3: 3, 4: 11}",0
18,False,"{'a': 0.5, 'e': 0.9646402934831233}",25,-3,-183.01957983381328,"{0: 19, 1: 0, 2: 3, 3: 3, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.9627129408911999}",20,-100,-504.57793578948855,"{0: 73, 1: 9, 2: 30, 3: 3, 4: 5}",0
20,False,"{'a': 0.5, 'e': 0.9607894391523235}",25,16,-22.415098397001508,"{0: 5, 1: 2, 2: 2, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.9588697805724848}",30,-69,-517.5787290675717,"{0: 61, 1: 11, 2: 12, 3: 8, 4: 7}",0
22,False,"{'a': 0.5, 'e': 0.956953957473047}",20,-39,-392.77719991785773,"{0: 33, 1: 6, 2: 10, 3: 4, 4: 6}",0
23,False,"{'a': 0.5, 'e': 0.955041962190715}",20,-53,-460.62433215333823,"{0: 40, 1: 10, 2: 13, 3: 3, 4: 7}",0
