trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,-8,-136.41012992351892,"{0: 24, 1: 4, 2: 8, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-161.02825422768228,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,-100,-633.0876147953442,"{0: 72, 1: 20, 2: 25, 3: 6, 4: 7}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,-7,-132.32329103157093,"{0: 15, 1: 2, 2: 7, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,2,-83.43216022610316,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,-25,-92.0221135153278,"{0: 32, 1: 3, 2: 8, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,-3,-91.75363273713872,"{0: 19, 1: 3, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,-100,-715.8532800634821,"{0: 72, 1: 12, 2: 26, 3: 5, 4: 10}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,-42,-294.99660413770886,"{0: 40, 1: 9, 2: 19, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,-100,-565.0471133676865,"{0: 70, 1: 15, 2: 25, 3: 3, 4: 7}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,-100,-645.8926995341017,"{0: 68, 1: 11, 2: 27, 3: 7, 4: 7}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,-100,-701.5327605925845,"{0: 66, 1: 14, 2: 27, 3: 3, 4: 10}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,10,-23.17855533623453,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,7,-40.79101404975072,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,-35,-278.59456667309445,"{0: 40, 1: 6, 2: 13, 3: 3, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,-100,-624.2225249368385,"{0: 65, 1: 16, 2: 34, 3: 5, 4: 5}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,-100,-587.5848872193601,"{0: 71, 1: 12, 2: 26, 3: 4, 4: 7}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,-14,-59.29604898086494,"{0: 26, 1: 2, 2: 3, 3: 3, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,-5,-240.96991499471375,"{0: 19, 1: 5, 2: 6, 3: 1, 4: 4}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,-98,-566.5095237551785,"{0: 90, 1: 5, 2: 18, 3: 5, 4: 10}",0
1,True,"{'a': 0, 'e': 0}",25,-63,-205.06095204270756,"{0: 58, 1: 8, 2: 20, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,-100,-700.9457883756698,"{0: 65, 1: 16, 2: 25, 3: 5, 4: 9}",0
3,True,"{'a': 0, 'e': 0}",20,-100,-468.43133095968506,"{0: 80, 1: 12, 2: 19, 3: 1, 4: 8}",0
4,True,"{'a': 0, 'e': 0}",25,-69,-312.01966484354216,"{0: 67, 1: 8, 2: 12, 3: 2, 4: 5}",0
5,True,"{'a': 0, 'e': 0}",20,-100,-588.7457871825816,"{0: 76, 1: 9, 2: 20, 3: 7, 4: 8}",0
6,True,"{'a': 0, 'e': 0}",25,-100,-962.7177331880133,"{0: 69, 1: 16, 2: 17, 3: 5, 4: 18}",0
7,True,"{'a': 0, 'e': 0}",30,-11,-207.62556824469752,"{0: 25, 1: 1, 2: 10, 3: 3, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",25,-100,-726.6304008159076,"{0: 68, 1: 13, 2: 28, 3: 8, 4: 8}",0
9,True,"{'a': 0, 'e': 0}",25,12,-133.6467313270513,"{0: 5, 1: 2, 2: 3, 3: 1, 4: 2}",1
10,True,"{'a': 0, 'e': 0}",30,16,-135.75102816872686,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 3}",1
